身高,体重,肺活量,50米跑,立定跳远,坐位体前屈,800米跑
156,55.3,3021,7.47,184,22.1,"3'17"""
171.3,70.1,4197,9.02,190,24.9,"3'55"""
162.3,54.8,2583,9.26,160,8.4,"3'32"""
152.3,48.4,3021,8.88,180,22.7,"3'49"""
168,60.2,3530,8.42,200,20.3,"3'59"""
169.6,57.4,3350,8.01,208,21.2,"3'34"""
159.8,47.9,3307,7.63,208,14.2,"3'34"""
155.7,54.9,2832,8.01,188,15.6,"3'34"""
161.3,42.5,2424,8.21,207,16.7,"3'30"""
158.7,50.9,2885,7.57,188,18.5,"3'37"""
155.7,48,2383,8.68,170,14.8,"3'38"""
164.9,47.6,2552,9.02,160,15.7,"3'50"""
161.3,55.1,3164,8.16,180,26,"3'46"""
160.5,50.5,2521,8.99,190,13.1,"3'46"""
162.5,48.9,2333,9.23,175,16.6,"4'04"""
158.4,44.3,2932,8.77,180,14.8,"3'51"""
150.7,43.5,2467,8.71,180,19.3,"3'44"""
156.3,51.6,2797,9.51,163,18.3,"4'13"""
156.5,49.8,2475,8.52,187,18.2,"3'33"""
171.8,55.3,3604,8.69,195,10.2,"3'52"""
166.6,50.9,2909,8.68,176,15.3,"4'40"""
163.9,50,2581,8.44,192,24.6,"3'22"""
167.9,50.9,3229,8.82,170,20.2,"3'51"""
165.1,44.4,2387,8.1,195,22.7,"3'44"""
155.2,43.6,2390,8.56,206,11.3,"3'34"""
159.9,52.3,2992,9.27,170,15.4,"3'33"""
161.9,61,3333,8.1,182,13.3,"3'40"""
153.6,44,2465,9.25,152,10.1,"4'21"""
154.7,44.6,2295,9.56,185,20,"4'09"""
158.7,52.4,2546,8.69,171,24.9,"3'35"""
161.4,69.6,3337,8.57,192,16.1,"4'03"""
164.5,53.2,2533,9.08,165,15.2,"3'49"""
162.3,49.7,3139,8.5,175,13.4,"3'51"""
159.7,56.9,3133,10.02,168,14.3,"3'47"""
163.7,51.9,3956,9.42,185,16.4,"3'46"""
169.8,57.8,3652,9.4,168,14.1,"3'46"""
151,43.5,2377,9.41,168,10.4,"4'19"""
157.9,51.2,2974,9.09,170,22.2,"4'41"""
163.4,46.9,3455,9.08,180,25,"3'36"""
157.2,49,2664,8.6,170,23.3,"3'25"""
152,48.8,2396,8.86,185,22.3,"3'13"""
163.9,48.3,2750,8.19,186,20.8,"3'30"""
163.5,51.1,2536,8.8,190,20.3,"3'31"""
155.6,50,2904,8.85,160,21.8,"4'00"""
162.9,53.2,3040,9.4,150,12.1,"3'53"""
162.9,49.6,3129,9.42,155,13.3,"3'41"""
171.5,70.9,3545,8.17,186,26.2,"3'42"""
164.4,50,3503,8.1,190,23.8,"3'22"""
165.9,46.2,3081,8.74,170,6.8,"4'04"""
162.6,45.8,2900,9.24,188,21.5,"3'45"""
149.1,48.6,2307,8.67,165,10.8,"3'27"""
154.4,48.9,2554,10.08,160,12.2,"4'34"""
153.1,54.7,3469,9.71,151,16.7,"3'52"""
172.1,62.5,3400,8.94,185,14.9,"4'00"""
168.9,59.3,3473,9.5,165,20.9,"3'46"""
152.9,48.1,1959,9.81,160,18.5,"3'50"""
168.3,54.3,2708,7.89,172,5.1,"3'42"""
160.8,51.1,2625,8.78,195,20.2,"3'47"""
168,48.9,2823,8.84,190,24.9,"3'30"""
170.4,55.9,2802,8.61,163,17.7,"4'03"""
161.6,55.4,2459,9.32,180,13.8,"3'47"""
153.7,41.9,2894,8.69,158,29.3,"3'25"""
167,48.8,2432,8.42,189,24.7,"4'03"""
172.3,72.3,3678,9.11,166,22.8,"4'03"""
151.4,46.5,2542,9.48,145,21.8,"4'05"""
157.4,48.6,2528,9.65,155,6.9,"4'00"""
171.4,55,3059,8.65,180,13.8,"4'01"""
159.2,44.3,3026,8.19,178,13.7,"3'34"""
158,49.2,2528,8.73,156,17.9,"3'50"""
158.4,49.9,2718,9.39,162,21.9,"3'48"""
164.3,48.5,3041,8.96,170,27.1,"4'00"""
168,53.6,2787,8.77,155,22.6,"3'55"""
165.9,49.8,3124,8.36,182,21,"3'38"""
161.8,47.8,2375,8.72,160,9.5,"4'01"""
156.4,44.7,2788,8.67,152,13.2,"3'59"""
157.5,45.7,2733,8.36,185,5.6,"3'42"""
163.9,81,3049,8.94,177,19.4,"4'13"""
162.6,43.9,2508,8.97,192,14.2,"3'39"""
165.9,60.1,2882,9.15,158,19.2,"4'07"""
154.9,56.2,2544,10.11,130,10.2,"4'22"""
164.4,54.2,2565,8.46,175,31.1,"4'04"""
167.7,52.5,3520,8.86,176,15.3,"3'46"""
162,56.6,3437,8.19,170,11.8,"3'25"""
162.5,60.1,2751,8.86,165,17.2,"4'11"""
155.3,49.7,2847,9.21,165,21.4,"3'41"""
167.2,54.3,3044,9.68,170,19,"4'26"""
162.8,46.7,2633,8.52,176,14.1,"3'26"""
163.7,50,2941,9.77,170,7.5,"3'37"""
156.6,50.8,2477,8.74,160,16,"4'08"""
155.7,45.2,2332,9.75,158,9.4,"4'21"""
157,42.2,2628,9.02,175,17,"4'05"""
159.6,50.8,2893,8.76,198,14.4,"4'25"""
151.8,39.4,2260,9.55,162,16.1,"3'51"""
157.3,51.8,2829,9.69,158,21.8,"3'58"""
153.1,43.3,2435,9.06,155,27.2,"3'55"""
157.9,53.1,2844,8.48,175,22.4,"4'00"""
160.9,54.4,3520,8.3,186,19.7,"3'36"""
161.8,50.4,3401,9.38,175,11.1,"3'42"""
172.5,70.8,3509,9.55,145,10.1,"4'15"""
158.2,42.9,2721,9.1,170,18.6,"3'54"""
158.2,44.5,2504,8.36,188,13.7,"4'05"""
158.6,59.3,2053,9.22,166,17.2,"4'12"""
160.2,56.3,3158,8.56,200,11.1,"3'39"""
155.2,45.5,2574,10.01,185,7.1,"4'11"""
163.7,53.7,2510,8.44,193,21.6,"4'05"""
154.1,54.7,2453,8.66,160,11.2,"4'13"""
155.8,52.6,2728,9.36,165,14.2,"3'58"""
158.1,47.9,2382,7.86,214,22.8,"3'28"""
167.9,49.4,2650,9.47,170,18.6,"3'59"""
170.4,54.2,3331,7.99,202,23.3,"3'30"""
160.2,53.9,2917,8.22,180,20.9,"3'35"""
166.5,55.3,2589,9.3,171,24.3,"3'57"""
159,59,3314,9.53,158,6.5,"3'48"""
168,64.1,3609,9.64,185,25.5,"4'08"""
161.9,48,3069,9.3,185,21.3,"3'44"""
161.2,47.4,2259,10.7,152,12.7,"4'04"""
165.8,56.2,2652,8.72,182,11,"3'27"""
164.4,50.4,3538,8.59,175,34.5,"4'00"""
160.4,54.8,2973,8.94,170,14.3,"4'18"""
155.5,44.7,2789,9.27,173,23,"3'45"""
153.6,52.5,2951,9.55,168,19.4,"3'51"""
158.8,42.5,2616,8.83,180,15.9,"3'33"""
158.4,43.4,2316,9.42,153,11.6,"4'44"""
167.6,48.8,3188,8.52,170,21.4,"3'57"""
159.7,45.2,3040,7.69,196,19.4,"3'24"""
161.2,58.6,3323,8.51,168,14.6,"3'44"""
163.9,56.9,2818,9.36,188,21.3,"3'52"""
166.8,49.1,3424,9.15,175,27.4,"3'52"""
163.1,49.8,2591,8.82,183,27.9,"3'58"""
157.4,46.4,2348,9.15,170,21.4,"4'05"""
163.4,57,2955,8.18,178,13.2,"3'39"""
163.8,57.2,3091,9.17,170,19.8,"4'20"""
161,55.4,2732,10.4,178,19.6,"4'34"""
157.6,46,2534,9.11,156,8.4,"3'48"""
161.9,54,3230,8.4,180,21.7,"3'33"""
154.1,47.6,2677,8.59,175,16.6,"3'41"""
145.9,44.2,2756,8.9,184,26.8,"4'08"""
169.5,56.3,3626,8.31,210,20.4,"3'30"""
159.8,48.4,2541,9.56,190,25.5,"4'41"""
162.8,55.5,3359,7.63,195,1.8,"3'17"""
165.9,62.2,3326,7.95,198,22.2,"3'28"""
154.5,54,2209,8.11,175,10.3,"3'59"""
160.3,46.7,2088,9.11,170,24.2,"4'09"""
165.3,61,3417,8.49,193,21.6,"3'16"""
156.3,45.4,2547,9.4,155,12.8,"4'11"""
170.5,50.2,3087,8.91,170,9.9,"3'56"""
163.3,57.5,3490,8.41,190,18.8,"3'44"""
160.7,54.9,3494,9.8,156,18.2,"4'44"""
158.1,54.1,3220,9.23,183,22.2,"3'46"""
160.5,45.3,2750,9.09,165,10.2,"3'45"""
158.4,59.6,2703,9.46,164,16.3,"4'09"""
165.2,56.2,1184,10.16,155,15.1,"4'11"""
167.5,51.8,2331,9.35,166,12.2,"3'45"""
157,44.5,2105,9.19,168,22.6,"3'48"""
160.4,57,2609,9.66,162,17.1,"4'29"""
161.9,49.1,2904,9.19,180,22.3,"3'53"""
176.8,58.8,4263,9.07,180,25.4,"4'01"""
159.4,50.1,2559,9.06,172,25.8,"3'38"""
160.8,53.9,3005,8.52,172,24.7,"3'37"""
161.6,55.5,3077,9.27,170,21.6,"3'59"""
155.9,53.5,3415,8.47,188,21.3,"3'47"""
162.8,41.3,2191,8.06,200,15.6,"3'27"""
173.1,70.9,2832,8.52,170,18.6,"4'00"""
165.4,46.4,2924,8.02,197,15.3,"3'33"""
164.5,48.9,3150,9.23,181,18.6,"3'35"""
155.2,48.5,2723,8.17,190,10.6,"3'26"""
168.5,61.5,2982,9.19,155,15.8,"4'05"""
164.8,61.2,2021,9.33,155,15.9,"4'05"""
156.4,43,2641,8.74,182,10.3,"3'58"""
164.9,55.1,2393,8.69,178,19.3,"4'05"""
164.3,60,2544,9.69,162,11.2,"4'05"""
158.8,47.3,3541,9.16,168,19.8,"4'11"""
152.6,46,2892,9.43,170,19.4,"4'19"""
161,44.5,2343,9.59,164,13.1,"3'49"""
159.2,55.4,3414,8.94,175,22.1,"4'03"""
157.1,51.1,2822,8.9,190,14.8,"3'39"""
159.3,48.3,2076,7.68,188,20.5,"3'40"""
157.9,45.4,2588,8.88,188,18.1,"3'44"""
163.6,47.6,1861,8.61,190,13.8,"3'52"""
153.8,51.6,2143,9.84,155,18.5,"3'43"""
163.8,45.4,3011,8.86,188,20,"3'42"""
159.1,46.1,2248,9.08,151,22,"4'01"""
165.8,60.6,2855,8.94,170,22.2,"3'42"""
173.1,70,3472,8.49,178,11.3,"3'43"""
168.1,62,3548,8.75,176,17.2,"3'24"""
164.3,49.1,2926,7.48,205,14.6,"3'42"""
